CAR TYPE,CC AND FUEL TYPE,ASSEMBLER,BRAND,TYPE / MODEL,CC,TRANS,"FUEL (G/D)","TANK CAPT","GVW (Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL BASE","DIMENSION P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Segmt Share,Sedan Share,TOTAL 2020
,,,,APV0GL,1495,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,0,4,4,CKD,INA,127,136,127,26,-,-,66,63,84,110,83,60,"0,3%","0,2%",882
,,,,APV0GX,1495,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,8,4X2,FR,0,4,4,CKD,INA,173,140,163,33,-,-,81,40,29,83,53,60,"0,3%","0,2%",855
,,,,APV SGX,1495,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,7,4X2,FR,0,4,4,CKD,INA,56,75,81,14,1,-,45,26,53,65,55,50,"0,2%","0,1%",521
,,,,All New  Ertiga 02 GA,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,111,168,153,38,10,64,-,-,10,30,97,103,"0,2%","0,2%",784
,,,,All New  Ertiga 02 GL MT,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,824,599,370,113,27,203,95,-,255,352,404,347,"1,1%","0,9%",3.589
,,,,All New  Ertiga 02 GX MT,1462,MT,G,45,1775,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,328,83,161,79,25,167,2,-,201,59,149,205,"0,4%","0,4%",1.459
,,,,All New  Ertiga 02 GL AT,1462,AT,G,45,1775,4545,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,616,562,369,115,35,226,211,-,152,209,161,44,"0,8%","0,7%",2.700
,,,,All New  Ertiga 02 GX AT,1462,AT,G,45,1765,4545,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,1.378,1.654,975,211,50,514,330,-,476,162,673,162,"2,0%","1,7%",6.585
,,,,All New  Ertiga 02 SS MT,1462,MT,G,45,1775,4687,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,162,7,-,2,1,6,28,32,42,40,21,24,"0,1%","0,1%",365
,,,,All New  Ertiga 02 SS AT,1462,AT,G,45,1855,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,0,4,4,CKD,INA,169,2,-,9,5,17,47,53,70,70,60,70,"0,2%","0,1%",572
